42.269529;-74.726823;Bovina;633
43.664160;-75.969546;Boylston;549
42.371358;-77.109375;Bradford;855
44.739092;-74.437513;Brandon;577
42.588393;-79.017815;Brant;2065
44.891392;-74.714851;Brasher;2512
42.879238;-75.250997;Bridgewater;1522
43.118590;-77.584391;Brighton;1435
43.118590;-77.584391;Brighton;36609
42.845342;-77.424156;Bristol;2315
43.058685;-74.196521;Broadalbin;5260
42.812849;-75.317668;Brookfield;2545
40.779265;-72.915383;Brookhaven;486040
42.179187;-75.853395;Broome;973
44.007003;-75.984092;Brownville;6263
42.735912;-73.561504;Brunswick;11941
43.049809;-76.525701;Brutus;4464
44.904768;-74.169340;Burke;1465
42.722851;-75.125439;Burlington;1140
42.429791;-77.724994;Burns;1180
42.038113;-79.283383;Busti;7351
43.191555;-76.756737;Butler;2064
42.477362;-75.317895;Butternuts;1786
43.079627;-78.064417;Byron;2369
42.298975;-73.998466;Cairo;6670
42.973118;-77.852785;Caledonia;4255
41.767311;-75.056278;Callicoon;3057
43.184899;-78.815611;Cambria;5839
43.028133;-73.381223;Cambridge;2021
43.334514;-75.747964;Camden;4934
42.199164;-77.406347;Cameron;945
43.039233;-76.304096;Camillus;24167
42.232909;-77.196918;Campbell;3406
42.412029;-73.447055;Canaan;1710
42.737009;-77.541660;Canadice;1664
42.905629;-74.571807;Canajoharie;3730
42.887535;-77.281698;Canandaigua;10020
42.232852;-76.342436;Candor;5305
42.386454;-78.153621;Caneadea;2542
42.270349;-77.605823;Canisteo;3391
44.595616;-75.169094;Canton;10995
44.127830;-76.333001;Cape Vincent;2777
42.757019;-74.445691;Carlisle;1948
43.327836;-78.190854;Carlton;2994
41.430094;-73.680130;Carmel;34305
43.165447;-74.476009;Caroga;1205
42.378406;-76.295489;Caroline;3282
42.006389;-78.327778;Carroll;3524
42.108330;-78.651940;Carrollton;1297
42.628951;-78.054451;Castile;2906
42.312852;-76.784676;Catharine;1762
42.246705;-76.895155;Catlin;2618
43.168123;-76.572999;Cato;2537
42.056185;-77.027745;Caton;2179
42.217310;-73.864573;Catskill;11775
42.281741;-76.696894;Cayuta;556
42.930067;-75.852691;Cazenovia;7086
42.479785;-78.249735;Centerville;822
43.962289;-75.690195;Champion;4494
44.986427;-73.446525;Champlain;5754
42.845908;-74.341244;Charleston;1373
43.234975;-77.622109;Charlotte;1729
42.933409;-73.969014;Charlton;4133
44.926434;-74.079608;Chateaugay;2155
42.364252;-73.594839;Chatham;4128
42.209774;-79.466844;Chautauqua;4464
44.889533;-73.436033;Chazy;4284
42.902614;-78.744572;Cheektowaga;88226
42.008407;-76.623837;Chemung;2563
42.497231;-75.620809;Chenango;11252
42.294504;-79.099763;Cherry Creek;1118
42.795629;-74.753202;Cherry Valley;1223
41.362594;-74.271261;Chester;11981
41.362594;-74.271261;Chester;3355
44.447326;-73.463016;Chesterfield;2445
43.076584;-77.768095;Chili;28625
43.175624;-76.119368;Cicero;31632
42.542292;-75.895753;Cincinnatus;1056
44.401451;-75.062422;Clare;105
42.976726;-78.591971;Clarence;30673
43.193393;-78.064739;Clarendon;3648
43.233165;-77.927621;Clarkson;6736
41.125971;-73.959494;Clarkstown;84187
42.575912;-73.964017;Clarksville;1161
42.223403;-73.735159;Claverack;6021
43.185901;-76.172425;Clay;58206
44.239491;-76.085776;Clayton;5153
42.085090;-73.827075;Clermont;1965
42.844668;-73.818380;Clifton Park;36705
43.052284;-77.814729;Clifton;751
43.048403;-75.378503;Clinton;4312
43.048403;-75.378503;Clinton;737
42.020850;-79.629962;Clymer;1698
42.677853;-74.485417;Cobleskill;6625
41.705922;-75.060446;Cochecton;1372
42.473971;-73.792346;Coeymans;7418
42.502291;-77.507210;Cohocton;2561
42.160364;-75.077389;Colchester;2077
42.644227;-78.684749;Colden;3265
42.102126;-78.917509;Coldspring;663
42.172098;-75.644084;Colesville;5232
42.495733;-78.862074;Collins;6601
42.717856;-73.833455;Colonie;81591
44.553021;-74.939506;Colton;1451
42.367876;-73.559413;Columbia;1580
42.683961;-75.372672;Columbus;975
42.535339;-78.730862;Concord;8494
42.718953;-77.676386;Conesus;2473
42.387303;-74.376256;Conesville;734
42.238672;-79.031152;Conewango;1857
42.034244;-75.803801;Conklin;5441
43.121177;-76.648003;Conquest;1819
44.929212;-74.297131;Constable;1566
43.247847;-76.000197;Constantia;4973
42.103424;-73.550121;Copake;3615
43.244517;-73.832345;Corinth;6531
42.142852;-77.054690;Corning;6270
41.434338;-74.035368;Cornwall;12646
41.246259;-73.921884;Cortlandt;41592
42.577690;-76.108800;Cortlandville;8509
42.315910;-75.638520;Coventry;1655
42.575349;-76.683560;Covert;2154
42.853395;-78.010287;Covington;1232
42.350918;-73.802903;Coxsackie;8918
41.558820;-74.323554;Crawford;9316
43.895902;-75.392408;Croghan;3093
43.950335;-73.437067;Crown Point;2024
42.217567;-78.275293;Cuba;3243
42.737290;-75.948532;Cuyler;980
42.352296;-76.480774;Danby;3329
44.721430;-73.723753;Dannemora;4898
42.560900;-77.696106;Dansville;1842
42.982713;-74.803921;Danube;1039
42.902004;-78.350297;Darien;3158
42.471745;-74.844601;Davenport;2965
43.332665;-74.053513;Day;856
42.417005;-78.976981;Dayton;1886
44.498950;-75.342715;De Kalb;2434
44.552574;-75.435437;De Peyster;998
42.758401;-75.884362;DeRuyter;1589
43.035066;-76.065477;DeWitt;25838
42.644242;-74.725148;Decatur;353
43.119514;-75.218775;Deerfield;4273
41.459146;-74.663464;Deerpark;7901
42.245208;-74.874105;Delaware;2670
42.278140;-74.915995;Delhi;5117
43.899791;-75.582412;Denmark;2860
41.950926;-74.489043;Denning;551
42.060083;-75.427677;Deposit;1712
44.093179;-75.369623;Diana;1709
44.748389;-74.564621;Dickinson;5278
44.748389;-74.564621;Dickinson;823
42.324240;-76.895155;Dix;3864
41.696244;-73.582969;Dover;8699
42.683959;-76.955797;Dresden;652
42.490905;-76.297155;Dryden;14435
44.635171;-74.237396;Duane;174
42.762020;-74.133738;Duanesburg;6122
42.479502;-79.333932;Dunkirk;1318
42.399526;-74.172361;Durham;2725
42.548673;-78.298070;Eagle;1192
42.895064;-77.434713;East Bloomfield;3634
41.568137;-73.771320;East Fishkill;29029
42.590913;-73.701786;East Greenbush;16473
40.963434;-72.184801;East Hampton;21457
42.389785;-78.754753;East Otto;1062
43.108674;-77.487496;East Rochester;6587
40.958333;-73.808611;Eastchester;32363
42.993410;-73.552338;Easton;2336
42.849791;-75.611848;Eaton;5255
42.652282;-78.896979;Eden;7688
43.221739;-74.104019;Edinburg;1214
42.697830;-75.244043;Edmeston;1826
44.324506;-75.251040;Edwards;1156
43.077282;-78.186962;Elba;2370
43.034511;-76.447991;Elbridge;5922
